event_time,symbol,kline_start_time,kline_close_time,interval,first_trade_id,last_trade_id,open_price,close_price,high_price,low_price,base_asset_volume,number_of_trades,is_kline_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-07-14 16:46:24.958,BTCUSDT,2024-07-14 16:46:00,2024-07-14 16:46:59.999,1m,3682054587,3682054666,60019.99,60020.01,60020.01,60019.99,0.53676,80,False,32216.3333832,0.35505,21310.1010003,0
2024-07-14 16:46:26.967,BTCUSDT,2024-07-14 16:46:00,2024-07-14 16:46:59.999,1m,3682054587,3682054678,60019.99,60021.58,60021.59,60019.99,0.63789,92,False,38286.2590702,0.4558,27357.2184869,0
2024-07-14 16:46:29.529,BTCUSDT,2024-07-14 16:46:00,2024-07-14 16:46:59.999,1m,3682054587,3682054688,60019.99,60021.59,60021.59,60019.99,0.74428,102,False,44671.9560303,0.53454,32083.3184835,0
2024-07-14 16:46:31.663,BTCUSDT,2024-07-14 16:46:00,2024-07-14 16:46:59.999,1m,3682054587,3682054696,60019.99,60021.6,60021.6,60019.99,0.76887,110,False,46147.8871065,0.55235,33152.3031795,0
2024-07-14 16:46:34.050,BTCUSDT,2024-07-14 16:46:00,2024-07-14 16:46:59.999,1m,3682054587,3682054701,60019.99,60021.59,60021.6,60019.99,0.77285,115,False,46386.7730675,0.55563,33349.1740275,0
2024-07-14 16:46:36.530,BTCUSDT,2024-07-14 16:46:00,2024-07-14 16:46:59.999,1m,3682054587,3682054710,60019.99,60021.6,60021.6,60019.99,0.83588,124,False,50169.9341118,0.57829,34709.2634835,0
2024-07-14 16:46:39.530,BTCUSDT,2024-07-14 16:46:00,2024-07-14 16:46:59.999,1m,3682054587,3682054719,60019.99,60021.6,60021.6,60019.99,0.89709,133,False,53843.8556468,0.5794,34775.8874595,0
2024-07-14 16:46:42.471,BTCUSDT,2024-07-14 16:46:00,2024-07-14 16:46:59.999,1m,3682054587,3682054738,60019.99,60021.59,60021.6,60019.99,0.92683,152,False,55628.8979,0.59606,35775.8473155,0
2024-07-14 16:46:44.482,BTCUSDT,2024-07-14 16:46:00,2024-07-14 16:46:59.999,1m,3682054587,3682055035,60019.99,60019.99,60021.6,60019.99,6.34182,449,False,380644.0543098,0.61027,36628.7316755,0
2024-07-14 16:46:46.532,BTCUSDT,2024-07-14 16:46:00,2024-07-14 16:46:59.999,1m,3682054587,3682055050,60019.99,60019.99,60021.6,60019.99,6.45328,464,False,387333.8823969,0.61044,36638.9350755,0

# Enhanced prediction accuracy on 25 May 2024, 12:57

# Cleaned up unused code on 10 Jun 2024, 17:10

# Updated documentation on 13 Jun 2024, 15:59
